,SAMPLE_ID,BORO,BFE_DAY,ROUTE,SPA_DIR,LVTIME,ARRTIME,MILEAGE,ORIGIN,DESTINATION,TRIP_TYPE,LAT_O,LONG_O,LAT_D,LONG_D,BEF_SRT_TIME,BEF_SRT_DEST_TIME,BEF_SPA_DIR,BEF_LAT_O,BEF_LONG_D,RET_SRT_TIME,RET_SRT_DEST_TIME,RET_SPA_DIR,DURATION,SWITCH
1082,50537,B,WKD,B16,SB,1318,1425,7.8,LINCOLN RD / FLATBUSH AV,SHORE RD / 4 AV,Local,40.660843,-73.961464,40.611717,-74.03506999999999,1135.0,1244.0,NB,40.61176,-73.96137,1500.0,1622.0,NB,82.0,0
1083,50538,B,WKD,B36,EB,1943,2024,5.9670000000000005,SURF AV / W 37 ST,NOSTRAND AV / GRAVESEND NECK RD,Local,40.57378,-74.00251,40.60002,-73.94187,1843.0,1925.0,WB,40.59997,-74.00248,2039.0,2112.0,WB,33.0,0
1084,50539,B,WKD,B61,SB,2207,2246,7.479,SMITH ST / FULTON ST,PROSPECT PARK WEST / 18 ST,Local,40.691208,-73.98737,40.657578,-73.98294,2055.0,2137.0,NB,40.657635,-73.98788499999999,2310.0,2347.0,NB,37.0,0
1085,50540,B,WKD,B13,NB,1350,1500,8.742,GATEWAY CTR TERM / GATEWAY DR,WYCKOFF AV / DE KALB AV,Local,40.652687,-73.87686,40.704384000000005,-73.919464,1210.0,1321.0,SB,40.704322999999995,-73.876755,1520.0,1641.0,SB,81.0,0
1086,50541,B,WKD,B100,EB,952,1015,4.236000000000001,E 16 ST / KINGS HWY,NATIONAL DR / MILL AV,Local,40.60844,-73.95736,40.606857,-73.91589,900.0,926.0,WB,40.606945,-73.95740500000001,1030.0,1054.0,WB,24.0,0
1087,50542,M,WKD,M116,WB,821,848,2.4619999999999997,PLEASANT AV / E 120 ST,W 106 ST / BROADWAY,Local,40.79725,-73.931694,40.801327,-73.9676,737.0,806.0,EB,40.80115,-73.93101,908.0,937.0,EB,29.0,0
1088,50543,Q,WKD,Q67,EB,650,734,7.016,28 ST / QUEENS PLZ S,METROPOLITAN AV / FRESH POND RD,Local,40.749577,-73.93915600000001,40.712788,-73.90121500000001,530.0,612.0,WB,40.712616,-73.9392,759.0,853.0,WB,54.0,0
1089,50544,Q,WKD,Q58,WB,755,906,8.267999999999999,41 RD / MAIN ST,PALMETTO ST / WYCKOFF AV,Local,40.757393,-73.829285,40.699696,-73.91077,630.0,739.0,EB,40.700176,-73.82937,930.0,1041.0,EB,71.0,0
1090,50545,B,WKD,B43,NB,2040,2135,6.98,LINCOLN RD / FLATBUSH AV,BOX ST / MANHATTAN AV,Local,40.660843,-73.961464,40.737198,-73.95576,1924.0,2022.0,SB,40.737198,-73.96137,2201.0,2248.0,SB,47.0,0
1091,50546,Q,WKD,Q49,EB,815,834,2.615,74 ST - ROOSEVELT AV T / Q49 STOP,31 AV / 102 ST,Local,40.746590000000005,-73.89075,40.76132,-73.86703,733.0,758.0,WB,40.761309999999995,-73.89072,855.0,920.0,WB,25.0,0
